time_text,voltage_v,current_a,d_plus_v,d_minus_v,time_seconds,power_w
17:29:09,8.94,0.9,0.79,3.43,62949.0,8.046
17:29:10,8.94,0.88,0.79,3.43,62950.0,7.8671999999999995
17:29:11,8.95,0.88,0.8,3.43,62951.0,7.8759999999999994
17:29:12,8.94,0.95,0.8,3.44,62952.0,8.492999999999999
17:29:13,8.96,0.88,0.8,3.44,62953.0,7.884800000000001
17:29:14,8.94,0.9,0.8,3.44,62954.0,8.046
17:29:15,8.95,0.87,0.8,3.43,62955.0,7.786499999999999
17:29:16,8.94,0.92,0.79,3.43,62956.0,8.2248
17:29:17,8.95,0.87,0.79,3.43,62957.0,7.786499999999999
17:29:18,8.95,0.88,0.8,3.43,62958.0,7.8759999999999994
17:29:19,8.95,0.89,0.79,3.43,62959.0,7.9655
17:29:20,8.95,0.87,0.79,3.43,62960.0,7.786499999999999
17:29:21,8.94,0.87,0.79,3.43,62961.0,7.777799999999999
17:29:22,8.94,0.87,0.8,3.44,62962.0,7.777799999999999
17:29:23,8.94,0.87,0.79,3.44,62963.0,7.777799999999999
17:29:24,8.95,0.87,0.79,3.43,62964.0,7.786499999999999
17:29:25,8.95,0.88,0.8,3.43,62965.0,7.8759999999999994
17:29:26,8.94,0.87,0.79,3.43,62966.0,7.777799999999999
17:29:27,8.95,0.9,0.8,3.44,62967.0,8.055
17:29:28,8.95,0.87,0.79,3.43,62968.0,7.786499999999999
17:29:29,8.95,0.91,0.79,3.44,62969.0,8.144499999999999
17:29:30,8.95,0.86,0.79,3.43,62970.0,7.696999999999999
17:29:31,8.96,0.86,0.79,3.43,62971.0,7.7056000000000004
17:29:32,8.96,0.93,0.8,3.43,62972.0,8.3328
17:29:33,8.95,0.88,0.79,3.43,62973.0,7.8759999999999994
17:29:34,8.95,0.95,0.8,3.45,62974.0,8.5025
17:29:35,8.95,0.87,0.8,3.43,62975.0,7.786499999999999
17:29:36,8.95,0.91,0.8,3.44,62976.0,8.144499999999999
17:29:37,8.95,0.89,0.79,3.43,62977.0,7.9655
17:29:38,8.94,0.87,0.79,3.43,62978.0,7.777799999999999
17:29:39,8.94,0.87,0.8,3.44,62979.0,7.777799999999999
17:29:40,8.94,0.86,0.79,3.43,62980.0,7.6884
17:29:41,8.95,0.86,0.8,3.43,62981.0,7.696999999999999
17:29:42,8.95,0.86,0.79,3.43,62982.0,7.696999999999999
17:29:43,8.94,0.86,0.79,3.43,62983.0,7.6884
17:29:44,8.96,0.89,0.79,3.43,62984.0,7.974400000000001
17:29:45,8.95,0.87,0.79,3.43,62985.0,7.786499999999999
17:29:46,8.94,0.85,0.8,3.44,62986.0,7.598999999999999
17:29:47,8.95,0.85,0.79,3.43,62987.0,7.607499999999999
17:29:48,8.96,0.85,0.79,3.43,62988.0,7.6160000000000005
17:29:49,8.94,0.87,0.79,3.43,62989.0,7.777799999999999
17:29:50,8.95,0.87,0.79,3.43,62990.0,7.786499999999999
17:29:51,8.95,0.85,0.79,3.43,62991.0,7.607499999999999
17:29:52,8.95,0.87,0.79,3.43,62992.0,7.786499999999999
17:29:53,8.95,0.87,0.79,3.43,62993.0,7.786499999999999
17:29:54,8.95,0.84,0.8,3.43,62994.0,7.517999999999999
17:29:55,8.94,0.85,0.79,3.43,62995.0,7.598999999999999
17:29:56,8.95,0.9,0.79,3.43,62996.0,8.055
17:29:57,8.94,0.92,0.8,3.44,62997.0,8.2248
17:29:58,8.94,0.85,0.79,3.43,62998.0,7.598999999999999
17:29:59,8.94,0.86,0.79,3.43,62999.0,7.6884
17:30:00,8.94,0.86,0.79,3.43,63000.0,7.6884
17:30:01,8.95,0.86,0.79,3.43,63001.0,7.696999999999999
17:30:02,8.94,0.87,0.79,3.43,63002.0,7.777799999999999
17:30:03,8.94,0.85,0.79,3.43,63003.0,7.598999999999999
17:30:04,8.94,0.85,0.79,3.43,63004.0,7.598999999999999
17:30:05,8.94,0.87,0.79,3.43,63005.0,7.777799999999999
17:30:06,8.95,0.91,0.8,3.43,63006.0,8.144499999999999
17:30:07,8.95,0.84,0.79,3.43,63007.0,7.517999999999999
17:30:08,8.94,0.87,0.79,3.43,63008.0,7.777799999999999
17:30:09,8.94,0.86,0.79,3.43,63009.0,7.6884
17:30:10,8.94,0.88,0.8,3.43,63010.0,7.8671999999999995
17:30:11,8.95,0.86,0.79,3.43,63011.0,7.696999999999999
17:30:12,8.95,0.86,0.79,3.43,63012.0,7.696999999999999
17:30:13,8.95,0.85,0.8,3.43,63013.0,7.607499999999999
17:30:14,8.95,0.85,0.79,3.43,63014.0,7.607499999999999
17:30:15,8.94,0.85,0.79,3.43,63015.0,7.598999999999999
17:30:16,8.95,0.86,0.79,3.43,63016.0,7.696999999999999
17:30:17,8.95,0.87,0.79,3.43,63017.0,7.786499999999999
17:30:18,8.95,0.88,0.8,3.43,63018.0,7.8759999999999994
17:30:19,8.94,0.84,0.79,3.43,63019.0,7.509599999999999
17:30:20,8.94,0.83,0.79,3.43,63020.0,7.4201999999999995
17:30:21,8.94,0.85,0.79,3.43,63021.0,7.598999999999999
17:30:22,8.96,0.84,0.79,3.43,63022.0,7.526400000000001
17:30:23,8.94,0.87,0.8,3.44,63023.0,7.777799999999999
17:30:24,8.95,0.83,0.79,3.43,63024.0,7.428499999999999
17:30:25,8.94,0.83,0.79,3.43,63025.0,7.4201999999999995
17:30:26,8.94,0.84,0.79,3.43,63026.0,7.509599999999999
17:30:27,8.94,0.87,0.79,3.43,63027.0,7.777799999999999
17:30:28,8.95,0.83,0.79,3.43,63028.0,7.428499999999999
17:30:29,8.96,0.87,0.8,3.44,63029.0,7.7952
17:30:30,8.95,0.83,0.8,3.43,63030.0,7.428499999999999
17:30:31,8.95,0.83,0.79,3.43,63031.0,7.428499999999999
17:30:32,8.95,0.86,0.79,3.42,63032.0,7.696999999999999
17:30:33,8.95,0.84,0.79,3.43,63033.0,7.517999999999999
17:30:34,8.95,0.86,0.79,3.43,63034.0,7.696999999999999
17:30:35,8.95,0.83,0.79,3.43,63035.0,7.428499999999999
17:30:36,8.95,0.83,0.79,3.43,63036.0,7.428499999999999
17:30:37,8.95,0.83,0.79,3.43,63037.0,7.428499999999999
17:30:38,8.95,0.83,0.79,3.43,63038.0,7.428499999999999
17:30:39,8.95,0.87,0.8,3.43,63039.0,7.786499999999999
17:30:40,8.95,0.83,0.79,3.43,63040.0,7.428499999999999
17:30:41,8.93,0.84,0.79,3.43,63041.0,7.5012
17:30:42,8.94,0.82,0.79,3.43,63042.0,7.330799999999999
17:30:43,8.95,0.82,0.79,3.43,63043.0,7.338999999999999
17:30:44,8.95,0.84,0.79,3.43,63044.0,7.517999999999999
17:30:45,8.95,0.83,0.79,3.43,63045.0,7.428499999999999
17:30:46,8.95,0.83,0.8,3.43,63046.0,7.428499999999999
17:30:47,8.95,0.85,0.79,3.43,63047.0,7.607499999999999
17:30:48,8.95,0.82,0.79,3.42,63048.0,7.338999999999999
17:30:49,8.94,0.82,0.79,3.43,63049.0,7.330799999999999
17:30:50,8.95,0.85,0.79,3.43,63050.0,7.607499999999999
17:30:51,8.95,0.82,0.79,3.43,63051.0,7.338999999999999
17:30:52,8.94,0.82,0.79,3.43,63052.0,7.330799999999999
17:30:53,8.94,0.81,0.79,3.43,63053.0,7.2414000000000005
17:30:54,8.95,0.83,0.79,3.43,63054.0,7.428499999999999
17:30:55,8.94,0.82,0.78,3.42,63055.0,7.330799999999999
17:30:56,8.95,0.86,0.79,3.43,63056.0,7.696999999999999
17:30:57,8.95,0.81,0.79,3.43,63057.0,7.2495
17:30:58,8.95,0.83,0.79,3.43,63058.0,7.428499999999999
17:30:59,8.95,0.82,0.79,3.43,63059.0,7.338999999999999
17:31:00,8.95,0.81,0.79,3.43,63060.0,7.2495
17:31:01,8.95,0.82,0.79,3.43,63061.0,7.338999999999999
17:31:02,8.95,0.83,0.79,3.43,63062.0,7.428499999999999
17:31:03,8.94,0.83,0.79,3.43,63063.0,7.4201999999999995
17:31:04,8.95,0.83,0.79,3.43,63064.0,7.428499999999999
17:31:05,8.94,0.82,0.79,3.43,63065.0,7.330799999999999
17:31:06,8.95,0.85,0.79,3.43,63066.0,7.607499999999999
17:31:07,8.95,0.81,0.79,3.43,63067.0,7.2495
17:31:08,8.94,0.83,0.79,3.43,63068.0,7.4201999999999995
17:31:09,8.95,0.81,0.79,3.43,63069.0,7.2495
17:31:10,8.94,1.27,0.82,3.46,63070.0,11.3538
17:31:11,8.95,1.17,0.82,3.45,63071.0,10.471499999999999
17:31:12,8.95,1.25,0.83,3.47,63072.0,11.1875
17:31:13,8.95,1.13,0.82,3.47,63073.0,10.113499999999998
17:31:14,8.95,0.86,0.79,3.43,63074.0,7.696999999999999
17:31:15,8.95,0.83,0.79,3.42,63075.0,7.428499999999999
17:31:16,8.95,0.8,0.79,3.42,63076.0,7.16
17:31:17,8.95,0.81,0.78,3.42,63077.0,7.2495
17:31:18,8.94,0.88,0.79,3.43,63078.0,7.8671999999999995
17:31:19,8.94,0.81,0.79,3.42,63079.0,7.2414000000000005
17:31:20,8.95,0.8,0.79,3.43,63080.0,7.16
17:31:21,8.95,0.81,0.79,3.43,63081.0,7.2495
17:31:22,8.94,0.8,0.79,3.42,63082.0,7.152
17:31:23,8.95,0.82,0.79,3.43,63083.0,7.338999999999999
17:31:24,8.95,0.8,0.79,3.43,63084.0,7.16
17:31:25,8.94,0.83,0.79,3.43,63085.0,7.4201999999999995
17:31:26,8.95,0.81,0.79,3.43,63086.0,7.2495
17:31:27,8.95,0.8,0.79,3.43,63087.0,7.16
17:31:28,8.94,0.84,0.79,3.43,63088.0,7.509599999999999
