时间,电压(V),电流(A),D+(V),D-(V),时间文本,时间秒,总功耗(W)
17:29:09,8.94,0.9,0.79,3.43,17:29:09,62949,8.046
17:29:10,8.94,0.88,0.79,3.43,17:29:10,62950,7.8671999999999995
17:29:11,8.95,0.88,0.8,3.43,17:29:11,62951,7.8759999999999994
17:29:12,8.94,0.95,0.8,3.44,17:29:12,62952,8.492999999999999
17:29:13,8.96,0.88,0.8,3.44,17:29:13,62953,7.884800000000001
17:29:14,8.94,0.9,0.8,3.44,17:29:14,62954,8.046
17:29:15,8.95,0.87,0.8,3.43,17:29:15,62955,7.786499999999999
17:29:16,8.94,0.92,0.79,3.43,17:29:16,62956,8.2248
17:29:17,8.95,0.87,0.79,3.43,17:29:17,62957,7.786499999999999
17:29:18,8.95,0.88,0.8,3.43,17:29:18,62958,7.8759999999999994
17:29:19,8.95,0.89,0.79,3.43,17:29:19,62959,7.9655
17:29:20,8.95,0.87,0.79,3.43,17:29:20,62960,7.786499999999999
17:29:21,8.94,0.87,0.79,3.43,17:29:21,62961,7.777799999999999
17:29:22,8.94,0.87,0.8,3.44,17:29:22,62962,7.777799999999999
17:29:23,8.94,0.87,0.79,3.44,17:29:23,62963,7.777799999999999
17:29:24,8.95,0.87,0.79,3.43,17:29:24,62964,7.786499999999999
17:29:25,8.95,0.88,0.8,3.43,17:29:25,62965,7.8759999999999994
17:29:26,8.94,0.87,0.79,3.43,17:29:26,62966,7.777799999999999
17:29:27,8.95,0.9,0.8,3.44,17:29:27,62967,8.055
17:29:28,8.95,0.87,0.79,3.43,17:29:28,62968,7.786499999999999
17:29:29,8.95,0.91,0.79,3.44,17:29:29,62969,8.144499999999999
17:29:30,8.95,0.86,0.79,3.43,17:29:30,62970,7.696999999999999
17:29:31,8.96,0.86,0.79,3.43,17:29:31,62971,7.7056000000000004
17:29:32,8.96,0.93,0.8,3.43,17:29:32,62972,8.3328
17:29:33,8.95,0.88,0.79,3.43,17:29:33,62973,7.8759999999999994
17:29:34,8.95,0.95,0.8,3.45,17:29:34,62974,8.5025
17:29:35,8.95,0.87,0.8,3.43,17:29:35,62975,7.786499999999999
17:29:36,8.95,0.91,0.8,3.44,17:29:36,62976,8.144499999999999
17:29:37,8.95,0.89,0.79,3.43,17:29:37,62977,7.9655
17:29:38,8.94,0.87,0.79,3.43,17:29:38,62978,7.777799999999999
17:29:39,8.94,0.87,0.8,3.44,17:29:39,62979,7.777799999999999
17:29:40,8.94,0.86,0.79,3.43,17:29:40,62980,7.6884
17:29:41,8.95,0.86,0.8,3.43,17:29:41,62981,7.696999999999999
17:29:42,8.95,0.86,0.79,3.43,17:29:42,62982,7.696999999999999
17:29:43,8.94,0.86,0.79,3.43,17:29:43,62983,7.6884
17:29:44,8.96,0.89,0.79,3.43,17:29:44,62984,7.974400000000001
17:29:45,8.95,0.87,0.79,3.43,17:29:45,62985,7.786499999999999
17:29:46,8.94,0.85,0.8,3.44,17:29:46,62986,7.598999999999999
17:29:47,8.95,0.85,0.79,3.43,17:29:47,62987,7.607499999999999
17:29:48,8.96,0.85,0.79,3.43,17:29:48,62988,7.6160000000000005
17:29:49,8.94,0.87,0.79,3.43,17:29:49,62989,7.777799999999999
17:29:50,8.95,0.87,0.79,3.43,17:29:50,62990,7.786499999999999
17:29:51,8.95,0.85,0.79,3.43,17:29:51,62991,7.607499999999999
17:29:52,8.95,0.87,0.79,3.43,17:29:52,62992,7.786499999999999
17:29:53,8.95,0.87,0.79,3.43,17:29:53,62993,7.786499999999999
17:29:54,8.95,0.84,0.8,3.43,17:29:54,62994,7.517999999999999
17:29:55,8.94,0.85,0.79,3.43,17:29:55,62995,7.598999999999999
17:29:56,8.95,0.9,0.79,3.43,17:29:56,62996,8.055
17:29:57,8.94,0.92,0.8,3.44,17:29:57,62997,8.2248
17:29:58,8.94,0.85,0.79,3.43,17:29:58,62998,7.598999999999999
17:29:59,8.94,0.86,0.79,3.43,17:29:59,62999,7.6884
17:30:00,8.94,0.86,0.79,3.43,17:30:00,63000,7.6884
17:30:01,8.95,0.86,0.79,3.43,17:30:01,63001,7.696999999999999
17:30:02,8.94,0.87,0.79,3.43,17:30:02,63002,7.777799999999999
17:30:03,8.94,0.85,0.79,3.43,17:30:03,63003,7.598999999999999
17:30:04,8.94,0.85,0.79,3.43,17:30:04,63004,7.598999999999999
17:30:05,8.94,0.87,0.79,3.43,17:30:05,63005,7.777799999999999
17:30:06,8.95,0.91,0.8,3.43,17:30:06,63006,8.144499999999999
17:30:07,8.95,0.84,0.79,3.43,17:30:07,63007,7.517999999999999
17:30:08,8.94,0.87,0.79,3.43,17:30:08,63008,7.777799999999999
17:30:09,8.94,0.86,0.79,3.43,17:30:09,63009,7.6884
17:30:10,8.94,0.88,0.8,3.43,17:30:10,63010,7.8671999999999995
17:30:11,8.95,0.86,0.79,3.43,17:30:11,63011,7.696999999999999
17:30:12,8.95,0.86,0.79,3.43,17:30:12,63012,7.696999999999999
17:30:13,8.95,0.85,0.8,3.43,17:30:13,63013,7.607499999999999
17:30:14,8.95,0.85,0.79,3.43,17:30:14,63014,7.607499999999999
17:30:15,8.94,0.85,0.79,3.43,17:30:15,63015,7.598999999999999
17:30:16,8.95,0.86,0.79,3.43,17:30:16,63016,7.696999999999999
17:30:17,8.95,0.87,0.79,3.43,17:30:17,63017,7.786499999999999
17:30:18,8.95,0.88,0.8,3.43,17:30:18,63018,7.8759999999999994
17:30:19,8.94,0.84,0.79,3.43,17:30:19,63019,7.509599999999999
17:30:20,8.94,0.83,0.79,3.43,17:30:20,63020,7.4201999999999995
17:30:21,8.94,0.85,0.79,3.43,17:30:21,63021,7.598999999999999
17:30:22,8.96,0.84,0.79,3.43,17:30:22,63022,7.526400000000001
17:30:23,8.94,0.87,0.8,3.44,17:30:23,63023,7.777799999999999
17:30:24,8.95,0.83,0.79,3.43,17:30:24,63024,7.428499999999999
