时间,电压(V),电流(A),D+(V),D-(V),时间文本,总功耗(W)
1900-01-01 16:23:00,5.11,0.96,0.11,0.84,16:23:00,4.9056
1900-01-01 16:23:01,5.12,0.96,0.11,0.84,16:23:01,4.9152
1900-01-01 16:23:02,5.12,0.2,0.09,0.76,16:23:02,1.024
1900-01-01 16:23:03,5.12,0.2,0.09,0.76,16:23:03,1.024
1900-01-01 16:23:04,5.12,0.2,0.09,0.76,16:23:04,1.024
1900-01-01 16:23:05,5.1,0.35,0.1,0.81,16:23:05,1.7849999999999997
1900-01-01 16:23:06,5.1,0.35,0.1,0.81,16:23:06,1.7849999999999997
1900-01-01 16:23:07,5.12,0.97,0.11,0.84,16:23:07,4.9664
1900-01-01 16:23:08,5.11,0.96,0.11,0.84,16:23:08,4.9056
1900-01-01 16:23:09,5.11,0.96,0.11,0.84,16:23:09,4.9056
1900-01-01 16:23:10,5.11,0.96,0.11,0.84,16:23:10,4.9056
1900-01-01 16:23:11,5.13,0.96,0.11,0.84,16:23:11,4.924799999999999
1900-01-01 16:23:12,5.13,0.96,0.11,0.84,16:23:12,4.924799999999999
1900-01-01 16:23:13,5.11,0.97,0.11,0.84,16:23:13,4.9567000000000005
1900-01-01 16:23:14,5.11,0.97,0.11,0.84,16:23:14,4.9567000000000005
1900-01-01 16:23:15,5.12,0.96,0.11,0.84,16:23:15,4.9152
1900-01-01 16:23:16,5.1,0.97,0.11,0.84,16:23:16,4.946999999999999
1900-01-01 16:23:17,5.1,0.97,0.11,0.84,16:23:17,4.946999999999999
1900-01-01 16:23:18,5.11,0.96,0.11,0.84,16:23:18,4.9056
1900-01-01 16:23:19,5.11,0.96,0.11,0.84,16:23:19,4.9056
1900-01-01 16:23:20,5.11,0.96,0.11,0.84,16:23:20,4.9056
1900-01-01 16:23:21,5.12,0.96,0.11,0.84,16:23:21,4.9152
1900-01-01 16:23:22,5.11,0.96,0.11,0.84,16:23:22,4.9056
1900-01-01 16:23:23,5.11,0.96,0.11,0.84,16:23:23,4.9056
1900-01-01 16:23:24,5.12,0.96,0.11,0.84,16:23:24,4.9152
1900-01-01 16:23:25,5.11,0.96,0.11,0.84,16:23:25,4.9056
1900-01-01 16:23:26,5.11,0.96,0.11,0.84,16:23:26,4.9056
1900-01-01 16:23:27,5.12,0.97,0.11,0.84,16:23:27,4.9664
1900-01-01 16:23:28,5.12,0.97,0.11,0.84,16:23:28,4.9664
1900-01-01 16:23:29,5.12,0.96,0.11,0.84,16:23:29,4.9152
1900-01-01 16:23:30,5.12,0.96,0.11,0.84,16:23:30,4.9152
1900-01-01 16:23:31,5.12,0.96,0.11,0.84,16:23:31,4.9152
1900-01-01 16:23:32,5.12,0.96,0.11,0.84,16:23:32,4.9152
1900-01-01 16:23:33,5.13,0.96,0.11,0.84,16:23:33,4.924799999999999
1900-01-01 16:23:34,5.13,0.96,0.11,0.84,16:23:34,4.924799999999999
1900-01-01 16:23:35,5.12,0.96,0.11,0.84,16:23:35,4.9152
1900-01-01 16:23:36,5.12,0.96,0.11,0.84,16:23:36,4.9152
1900-01-01 16:23:37,5.12,0.96,0.11,0.84,16:23:37,4.9152
1900-01-01 16:23:38,5.13,0.97,0.11,0.84,16:23:38,4.9761
1900-01-01 16:23:39,5.11,0.96,0.11,0.84,16:23:39,4.9056
1900-01-01 16:23:40,5.11,0.96,0.11,0.84,16:23:40,4.9056
1900-01-01 16:23:41,5.11,0.96,0.11,0.84,16:23:41,4.9056
1900-01-01 16:23:42,5.11,0.96,0.11,0.84,16:23:42,4.9056
1900-01-01 16:23:43,5.11,0.96,0.11,0.84,16:23:43,4.9056
1900-01-01 16:23:44,5.12,0.96,0.11,0.84,16:23:44,4.9152
1900-01-01 16:23:45,5.12,0.96,0.11,0.84,16:23:45,4.9152
1900-01-01 16:23:46,5.12,0.96,0.11,0.84,16:23:46,4.9152
1900-01-01 16:23:47,5.11,0.96,0.11,0.84,16:23:47,4.9056
1900-01-01 16:23:48,5.12,0.96,0.11,0.84,16:23:48,4.9152
1900-01-01 16:23:49,5.12,0.96,0.11,0.84,16:23:49,4.9152
1900-01-01 16:23:50,5.12,0.96,0.11,0.84,16:23:50,4.9152
1900-01-01 16:23:51,5.12,0.27,0.09,0.77,16:23:51,1.3824
1900-01-01 16:23:52,5.12,0.26,0.09,0.77,16:23:52,1.3312000000000002
1900-01-01 16:23:53,5.12,0.25,0.09,0.77,16:23:53,1.28
1900-01-01 16:23:54,5.13,0.27,0.09,0.77,16:23:54,1.3851
1900-01-01 16:23:55,5.11,0.28,0.09,0.77,16:23:55,1.4308000000000003
1900-01-01 16:23:56,5.12,0.28,0.09,0.77,16:23:56,1.4336000000000002
1900-01-01 16:23:57,5.12,0.52,0.09,0.8,16:23:57,2.6624000000000003
1900-01-01 16:23:58,5.12,0.67,0.1,0.82,16:23:58,3.4304
1900-01-01 16:23:59,5.12,0.66,0.1,0.81,16:23:59,3.3792000000000004
1900-01-01 16:24:00,5.11,0.7,0.1,0.82,16:24:00,3.577
1900-01-01 16:24:01,5.11,0.96,0.11,0.84,16:24:01,4.9056
1900-01-01 16:24:02,5.12,0.97,0.11,0.84,16:24:02,4.9664
